Aberto,Fechado,Localidade,duracao,instanceDisplayName,solucao
"2021-09-14 22:10:27","2021-09-14 22:16:28","SDW- PB LOPES - SALTO GRANDE",361,"vl701269.velo.lops_GE3(titular)",202059976
"2021-09-14 22:45:27","2021-09-14 22:56:27","SDW- PB LOPES - SALTO GRANDE",660,"vl701269.velo.lops_GE3(titular)",202059976
"2021-09-15 00:05:28","2021-09-15 00:21:25","SDW- PB LOPES - SALTO GRANDE",957,"vl701269.velo.lops_GE3(titular)",202059976
"2021-09-15 00:45:27","2021-09-15 01:06:26","SDWAN - GERDAU - CARUARU",1259,"vl701273.velo.gerd_GE4(titular)",202040637
"2021-09-15 00:50:28","2021-09-15 01:16:25","SDW- PB LOPES - SALTO GRANDE",1557,"vl701269.velo.lops_GE3(titular)",202059976
"2021-09-15 05:15:22","2021-09-15 05:31:23","SDWAN - VALLOUREC - GESTAO - CXS DO SUL/RS",961,"vl701047.velo.vall_GE4(titular)",202058018
"2021-09-15 09:30:11","2021-09-15 09:41:11","SDWAN - VALLOUREC - GESTAO - RIO DAS OSTRAS/RJ",660,"vl700461.velo.vall_GE2(titular)",202058025
"2021-09-15 10:35:26","2021-09-15 10:46:28","SDWAN - GERDAU - CARUARU",662,"vl701273.velo.gerd_GE4(titular)",202040637
"2021-09-15 13:40:21","2021-09-15 14:06:22","SDWAN - GERDAU - RECIFE",1561,"vl700994.velo.gerd_GE4(titular)",202041377
"2021-09-15 13:40:21","2021-09-15 14:06:22","SDWAN - GERDAU - RECIFE",1561,"vl700994.velo.gerd_GE3(titular)",202041377
"2021-09-15 14:35:27","2021-09-15 14:46:28","SDWAN - GERDAU - CARUARU",661,"vl701273.velo.gerd_GE4(titular)",202040637
"2021-09-15 15:00:20","2021-09-15 15:31:23","SDWAN - GERDAU - RIO SUL",1863,"vl700997.velo.gerd_GE4(titular)",202041390
"2021-09-15 16:10:20","2021-09-15 16:26:18","SDWAN - GERDAU - BELEM",958,"vl700941.velo.gerd_GE4(titular)",202040625
"2021-09-15 16:15:12","2021-09-15 16:31:11","SDWAN - VALLOUREC - GESTAO - CIDADE UNIVERSITARIA/RJ",959,"vl700465.velo.vall_GE3(titular)",202058019
"2021-09-15 16:15:27","2021-09-15 16:21:26","SDW- PB LOPES - SALTO GRANDE",359,"vl701269.velo.lops_GE3(titular)",202059976
"2021-09-15 17:05:27","2021-09-15 17:21:27","SDWAN - GERDAU - CARUARU",960,"vl701273.velo.gerd_GE4(titular)",202040637
"2021-09-15 17:50:21","2021-09-15 17:56:20","SDWAN - GERDAU - CG BARREIRAS",359,"vl700948.velo.gerd_GE4(titular)",202040651
"2021-09-15 17:50:21","2021-09-15 17:56:20","SDWAN - GERDAU - CG BARREIRAS",359,"vl700948.velo.gerd_GE3(titular)",202040651
"2021-09-15 18:25:19","2021-09-15 18:36:19","SDWAN - GERDAU - CG BARREIRAS",660,"vl700948.velo.gerd_GE4(titular)",202040651
"2021-09-15 18:45:22","2021-09-15 20:36:23","SDWAN - GERDAU - TERESINA",6661,"vl701006.velo.gerd_GE4(titular)",202041385
"2021-09-15 18:50:26","2021-09-15 19:01:26","SDWAN - GERDAU - CARUARU",660,"vl701273.velo.gerd_GE4(titular)",202040637
"2021-09-15 19:55:21","2021-09-15 20:01:20","SDWAN - GERDAU - CG BARREIRAS",359,"vl700948.velo.gerd_GE3(titular)",202040651
"2021-09-15 20:30:19","2021-09-15 20:41:19","SDWAN - GERDAU - CG BARREIRAS",660,"vl700948.velo.gerd_GE3(titular)",202040651
